Id,Title,Score,Body,CreationDate
"6855283","refactor function error - ""is not part of the build phase of any targets in the Xcode 3 projects in this workspace and so can't be refactored""","18","<p>Trying to rename a function's name via the refactor->rename button in a categoriy's .h file in XCode 4.1 I'm getting this error: (error and body)</p>

<p>UINavigationController+ZG.h is not part of the build phase of any targets in the Xcode 3 projects in this workspace and so can’t be refactored.</p>

<p>Add the file to the build phase of a target in an Xcode 3 project in this workspace, or make a selection in another file.</p>

<p>Not sure what it wants and why it's saying something about xcode 3 when i don't have any xcode 3 projects or anything like that.</p>
","2011-07-28 07:13:03"
"25424074","refactor large AngularJS module config into separate files","15","<h3>Problem: Large <code>config()</code></h3>

<p>The config of my AngularJS app is growing quite large. How would you refactor the following into separate files?</p>

<pre><code>// app.js
angular.module('myApp')
    .config(function($urlRouterProvider, $stateProvider, $httpProvider) {
        // Configure routing (uiRouter)
        $urlRouterProvider.when('/site', '/site/welcome');
        $stateProvider.state('main', ...
        ...

        // Configure http interceptors
        $httpProvider.interceptors.push(function () {              
            ...
        });
    });
</code></pre>

<hr>

<h3>Option 1. Multiple <code>config()</code>s</h3>

<p>I know that I can have multiple <code>config()</code>s and place them in separate files like this:</p>

<pre><code>// app.js
angular.module('myApp');

// routerConfiguration.js
angular.module('myApp')
    .config(function($urlRouterProvider, $stateProvider) {
        // Configure routing (uiRouter)
        $urlRouterProvider.when('/site', '/site/welcome');
        $stateProvider.state('main', ...
        ...

// httpInterceptorConfig.js
angular.module('myApp')
    .config(function($httpProvider) {
        // Configure http interceptors
        $httpProvider.interceptors.push(function () {              
            ...
        });
    });
</code></pre>

<p>What I do not like about this, is that in the original app.js, <strong>there is no way of getting an overview</strong> of what is run at startup. </p>

<hr>

<h3>Option 2. Inject something</h3>

<p>I would prefer to do something like this, because it would be easier to see what is configured, directly in the app.js. However I know that this is not possible, since we cannot inject services into <code>config()</code>. </p>

<p><strong>Can I use providers to solve this? Is there a better way?</strong></p>

<pre><code>// app.js
angular.module('myApp')
    .config(function(routerConfig, httpInterceptorConfig) {
        routerConfig.setup();
        httpInterceptorConfig.setup();
    });

// routerConfig.js
angular.module('myApp')
    .factory('routerConfig', function($urlRouterProvider, $stateProvider) {
        return {
            setup: function() {
                // Configure routing (uiRouter)
                $urlRouterProvider.when('/site', '/site/welcome');
                $stateProvider.state('main', ...
                ...
            }
        };
    });
});

// httpInterceptorConfig.js
angular.module('myApp')
    .factory('httpInterceptorConfig', function($httpProvider) {
        return {
            setup: function() {
                // Configure http interceptors
                $httpProvider.interceptors.push(function () {              
                ...
            }
        };
    });
});
</code></pre>
","2014-08-21 10:31:43"
"12434127","refactoring to arc results in ""synthesize of 'weak' property is only allowed in arc or gc mode""","8","<p>i am using xcode 4.4.1 for iOS target 5.1
i've started my project using ARC, and in the middle of the project I've added some non-arc thirdparty source to my project.
at this point, i've decided to try refactoring in xcode and an error occurs.
it comes from one of my original source code. </p>

<p>i have a property of (nonatomic, weak) and i've synthesized it ==> synthesize of 'weak' property is only allowed in ARC or GC mode. </p>

<p>I am puzzeled - i am using arc and it complains that it is only allowed in arc??</p>

<p>At the moment, i've refactored the thirdparty app from other project and copied it for my project to work, but the above is a question I'd still like to understand why .
Thanks! 
(by the way, when i do convert to arc, it says that the target currently uses ARC)</p>
","2012-09-15 02:48:52"
"769351","refactoring LINQ IQueryable expression to remove duplicated portions of queries","7","<p>I have some linq queries that have redundancy I'd like to factor out a single piece of code.  These are join experssions that are IQueryable, and its important I don't cause the query to be evaluated earlier than it would be without the refactoring.</p>

<p>Here is a simplified query:</p>

<pre><code>var result = 
from T in db.Transactions
join O in db.Orders on T.OrderID equals O.OrderID
join OD in db.OrderDetails on O.OrderID equals OD.OrderID into OrderDetails
let FirstProductBought = OrderDetails.First().Select(OD =&gt; OD.Product.ProductName)
select new
{
  TransactionID = T.TransactionID,
  OrderID = O.OrderID,
  FirstProductBought = FirstProductBought
};
</code></pre>

<p>What I want to factor out is th logic ""given an order, what is the first product bought"".  I am using the same logic in other queries.  How can I factor it out into a shared method?</p>

<p>Generally, for code reuse and IQueryables, what I've been able to do is code that takes an IQueryable going in and produces an IQueryable/IOrderedQueryable as output.  With such functions I can build up LINQ expressions with reusable code that still defer query until the query is fully constructed.  Here, since I only have an int (the orderID) I'm not sure how to make it work.</p>

<p>thanks</p>
","2009-04-20 17:47:10"
"6033146","refactoring large cursor queries by splitting into multiple cursors","6","<p>Another PL/SQL refactoring question!</p>

<p>I have several cursors that are of the general simplified form:</p>

<pre><code>cursor_1 is
  with X as (select col1, col2 from TAB where col1 = '1'),
       Y as (select col1, col2 from TAB where col2 = '3'),
  /*main select*/
  select count(X.col1), ...
  from X inner join Y on...
  group by rollup (X.col1, ...

cursor_2 is
  with X as (select col1, col2 from TAB where col1 = '7' and col2 = '9' and col3 = 'TEST'),
       Y as (select col1, col2 from TAB where col3 = '6'),
  /*main select*/
  select count(X.col1), ...
  from X inner join Y on...
  group by rollup (X.col1, ...


cursor_2 is
  with X as (select col1, col2 from TAB where col1 IS NULL ),
       Y as (select col1, col2 from TAB where col2 IS NOT NULL ),
  /*main select*/
  select count(X.col1), ...
  from X inner join Y on...
  group by rollup (X.col1, ...


...
begin
    for r in cursor_1 loop
       print_report_results(r);
    end loop;

    for r in cursor_2 loop
       print_report_results(r);
    end loop;
    ...
end;
</code></pre>

<p>Basically, all of these cursors (there's more than 3) are the same summary/reporting queries. The difference is in the factored subqueries. There are always 2 factored subqueries, ""X"" and ""Y"", and they always select the same columns to feed into the main reporting query.</p>

<p>The problem is that the main reporting query is VERY large, about 70 lines. This itself isn't so bad, but it was copy-pasted for ALL of the reporting queries (I think there's over a dozen).</p>

<p>Since the only difference is in the factored subqueries (and they all return the same columns, it's really just a difference in the tables they select from and their conditions) I was hoping to find a way to refactor all this so that there is ONE query for the giant report and smaller ones for the various factored subqueries so that when changes are made to the way the report is done, I only have to do it in one place, not a dozen. Not to mention a much easier-to-navigate (and read) file!</p>

<p>I just don't know how to properly refactor something like this. I was thinking pipelined functions? I'm not sure they're appropriate for this though, or if there's a simpler way...</p>

<p>On the other hand, I also wonder if performance would be significantly worse by splitting out the reporting query. Performance (speed) <em>is</em> an issue for this system. I'd rather not introduce changes for developer convenience if it adds significant execution time.</p>

<hr>

<p>I guess what I'd ultimately like is something that looks sort of like this (I'm just not sure how to do this so that it will actually compile):</p>

<pre><code>cursor main_report_cursor (in_X, in_Y) is
    with X as (select * from in_X),
         Y as (select * from in_Y)
  /*main select*/
  select count(X.col1), ...
  from X inner join Y on...
  group by rollup (X.col1, ...

cursor x_1 is
     select col1, col2 from TAB where col1 = '1';
cursor y_1 is
     select col1, col2 from TAB where col2 = '3'

...
begin
for r in main_report_cursor(x_1,y_1) loop
   print_report_results(r);
end loop;

for r in main_report_cursor(x_2,y_2) loop
   print_report_results(r);
end loop;
...
</code></pre>

<p>(Using Oracle 10g)</p>
","2011-05-17 15:22:08"
"6823936","refactoring a whole class name in whole xcode project","6","<p>I just changed my class name from Group.h to CVGroup.h and therefore everything is affected in my code. Is it possible to refactor the whole project so that Group is refactored into CVGroup?</p>
","2011-07-26 00:17:53"
"1367876","refactor conditions within haml view","5","<p>beside the fact that accessibility standards discourage the use
of a link pointing to the current page, how I am supposed to 
refactor the following view code?</p>

<pre><code>#navigation
  %ul.tabbed
    - if current_page?(new_profile_path)
      %li{:class =&gt; ""current_page_item""}
        = link_to t(""new_profile""), new_profile_path
    - else
      %li
        = link_to t(""new_profile""), new_profile_path

    - if current_page?(profiles_path)
      %li{:class =&gt; ""current_page_item""}
        = link_to t(""profiles""), profiles_path
    - else
      %li
        = link_to t(""profiles""), profiles_path
    ...
</code></pre>

<p>Thank you.</p>
","2009-09-02 13:59:43"
"1409432","refactoring Java arrays and primitives (double[][]) to Collections and Generics (List<List<Double>>)","5","<p>I have been refactoring throwaway code which I wrote some years ago in a FORTRAN-like style. Most of the code is now much more organized and readable. However the heart of the algorithm (which is performance-critical) uses 1- and 2-dimensional Java arrays and is typified by:</p>

<pre><code>    for (int j = 1; j &lt; len[1]+1; j++) {
        int jj = (cont == BY_TYPE) ? seq[1][j-1] : j-1;
        for (int i = 1; i &lt; len[0]+1; i++) {
            matrix[i][j] = matrix[i-1][j] + gap;
            double m = matrix[i][j-1] + gap;
            if (m &gt; matrix[i][j]) {
                matrix[i][j] = m;
                pointers[i][j] = UP;
            }
            //...
        }
    }
</code></pre>

<p>For clarity, maintainability and interfacing with the rest of the code I would like to refactor it. However on reading <a href=""https://stackoverflow.com/questions/185594/java-generics-syntax-for-arrays"">Java Generics Syntax for arrays</a> and   <a href=""https://stackoverflow.com/questions/877897/java-generics-and-numbers"">Java Generics and number</a>s I have the following concerns:</p>

<ul>
<li><p>Performance. The code is planned to use about 10^8 - 10^9 secs/yr and this is just about manageable. My reading suggests that changing double to Double can sometimes add a factor of 3 in performance. I'd like other experience on this. I would also expect that moving from foo[] to List would be a hit as well. I have no first-hand knowledge and again experience would be useful. </p></li>
<li><p>Array-bound checking. Is this treated differently in double[] and List and does it matter? I expect some problems to violate bounds as the algorithm is fairly simple and has only been applied to a few data sets.</p></li>
<li><p>If I don't refactor then the code has an ugly and possibly fragile intermixture of the two approaches. I am already trying to write things such as:</p>

<p>List&lt;double[]&gt; and
List&lt;Double&gt;[]</p></li>
</ul>

<p>and understand that the erasure does not make this pretty and at best gives rise to compiler warnings. It seems difficult to do this without very convoluted constructs.</p>

<ul>
<li>Obsolescence. One poster suggested that Java arrays should be obsoleted. I assume this isn't going to happen RSN but I would like to move away from outdated approaches.</li>
</ul>

<p><strong>SUMMARY</strong> The consensus so far:</p>

<ul>
<li><p>Collections have a significant performance hit over primitive arrays, especially for constructs such as matrices. This is incurred in auto(un)boxing numerics and in accessing list items</p></li>
<li><p>For tight numerical (scientific) algorithms the array notation [][] is actually easier to read but the variables should named as helpfully as possible</p></li>
<li><p>Generics and arrays do not mix well. It may be useful to wrap the arrays in classes to transport them in/out of the tight algorithm.</p></li>
</ul>

<p>There is little objective reason to make the change</p>

<p><strong>QUESTION</strong> @SeanOwen has suggested that it would be useful to take constant values out of the loops. Assuming I haven't goofed this would look like:</p>

<pre><code> int len1 = len[1];
 int len0 = len[0];
 int seq1 = seq[1];
 int[] pointersi;
 double[] matrixi;
 for (int i = 1; i &lt; len0+1; i++) {
     matrixi = matrix[i];
     pointersi = pointers[i];
 }
 for (int j = 1; j &lt; len1+1; j++) {
    int jj = (cont == BY_TYPE) ? seq1[j-1] : j-1;
    for (int i = 1; i &lt; len0+1; i++) {
        matrixi[j] = matrixi[j] + gap;
        double m = matrixi[j-1] + gap;
        if (m &gt; matrixi[j]) {
            matrixi[j] = m;
            pointersi[j] = UP;
        }
        //...
    }
}
</code></pre>

<p>I thought compilers were meant to be smart at doing this sort of thing. Do we need to still do this?</p>
","2009-09-11 07:15:28"
"7412535","refactoring long methods with fluent interfaces","4","<p>I'd like to know your opinion about using the fluent interface pattern to refactor a long method.</p>

<p><a href=""http://en.wikipedia.org/wiki/Fluent_interface"" rel=""nofollow"">http://en.wikipedia.org/wiki/Fluent_interface</a></p>

<p>The fluent pattern is not included in the refactoring books.</p>

<p>for example, say you have this long method (with a long name as it 
does many things)</p>

<pre><code>class TravelClub {

   Receipt buyAndAddPointsAndGetReceipt(long amount, long cardNumber) {
    buy(amount);
    accumulatePoints(cardNumber);
    return generateReceipt();

   }

   void buy(int amount) {...}

   void accumlatePoints(int cardNumber) {...}

   void generateRecepit() {...}

}
</code></pre>

<p>called as:</p>

<pre><code>Receipt myReceipt = myTravelClub.buyAndAddPointsAndGetReceipt(543L,12345678L);
</code></pre>

<p>That could be refactored to:</p>

<pre><code>class TravelClub {

   TravelClub buy(long amount) {
    //buy stuff
    return this;
   }

   TravelClub accumulatePoints(long cardNumber) {
    //accumulate stuff
    return this;
   }

   Receipt generateReceipt() {
    return new Receipt(...);
   }


}
</code></pre>

<p>and called as:</p>

<pre><code>Receipt myReceipt = myTravelClub.buy(543L).accumulatePoints(12345678L).generateReceipt();
</code></pre>

<p>from my point of view this is a quite good manner to decompose a long method and
also to decompose its name.</p>

<p>what do you think?</p>
","2011-09-14 07:11:07"
"6696469","refactor this basic code that determines if number is in tens, hundreds, thousands etc","4","<pre><code> if (n&lt;100) {
     x = 10;
 } else if (n&lt;1000) {
     x = 100;
 } else if (n&lt;10000) {
     x = 1000;
 } else if (n....
</code></pre>

<p>etc. etc. </p>

<p>Is there a nice concise, scalable method for this type of problem? My brain has decided to stop working. </p>
","2011-07-14 16:13:09"
