Id,Title,Score,Body,CreationDate
"25424074","refactor large AngularJS module config into separate files","15","<h3>Problem: Large <code>config()</code></h3>

<p>The config of my AngularJS app is growing quite large. How would you refactor the following into separate files?</p>

<pre><code>// app.js
angular.module('myApp')
    .config(function($urlRouterProvider, $stateProvider, $httpProvider) {
        // Configure routing (uiRouter)
        $urlRouterProvider.when('/site', '/site/welcome');
        $stateProvider.state('main', ...
        ...

        // Configure http interceptors
        $httpProvider.interceptors.push(function () {              
            ...
        });
    });
</code></pre>

<hr>

<h3>Option 1. Multiple <code>config()</code>s</h3>

<p>I know that I can have multiple <code>config()</code>s and place them in separate files like this:</p>

<pre><code>// app.js
angular.module('myApp');

// routerConfiguration.js
angular.module('myApp')
    .config(function($urlRouterProvider, $stateProvider) {
        // Configure routing (uiRouter)
        $urlRouterProvider.when('/site', '/site/welcome');
        $stateProvider.state('main', ...
        ...

// httpInterceptorConfig.js
angular.module('myApp')
    .config(function($httpProvider) {
        // Configure http interceptors
        $httpProvider.interceptors.push(function () {              
            ...
        });
    });
</code></pre>

<p>What I do not like about this, is that in the original app.js, <strong>there is no way of getting an overview</strong> of what is run at startup. </p>

<hr>

<h3>Option 2. Inject something</h3>

<p>I would prefer to do something like this, because it would be easier to see what is configured, directly in the app.js. However I know that this is not possible, since we cannot inject services into <code>config()</code>. </p>

<p><strong>Can I use providers to solve this? Is there a better way?</strong></p>

<pre><code>// app.js
angular.module('myApp')
    .config(function(routerConfig, httpInterceptorConfig) {
        routerConfig.setup();
        httpInterceptorConfig.setup();
    });

// routerConfig.js
angular.module('myApp')
    .factory('routerConfig', function($urlRouterProvider, $stateProvider) {
        return {
            setup: function() {
                // Configure routing (uiRouter)
                $urlRouterProvider.when('/site', '/site/welcome');
                $stateProvider.state('main', ...
                ...
            }
        };
    });
});

// httpInterceptorConfig.js
angular.module('myApp')
    .factory('httpInterceptorConfig', function($httpProvider) {
        return {
            setup: function() {
                // Configure http interceptors
                $httpProvider.interceptors.push(function () {              
                ...
            }
        };
    });
});
</code></pre>
","2014-08-21 10:31:43"
"26266552","refactoring Ruby scraping code","1","<p>Basically, I will have multiple <code>.main_entry</code> blocks on each page and I will need to pull a couple of pieces of data from each. How can this be properly refactored into methods? </p>

<pre><code>require 'open-uri'
require 'nokogiri'


url = #url
doc = Nokogiri::HTML(open(url))

doc.css("".main_entry"").each do |item|
  artist = item.at_css("".list_artist"").text
  title = item.at_css("".list_album"").text
  puts ""#{artist} - #{title}""
end
</code></pre>

<p>I have arrived at this mess below, which throws the <code>undefined local variable or method 'release'</code> error that seems to be related to methods being over-written. Could you explain to me what process the code below goes through, why it breaks down and what I should turn to for the fix? Should each <code>.main_entry</code> block be saved into some kind of a cache or an array first, before instantiating? </p>

<pre><code>require 'open-uri'
require 'nokogiri'

class Scraper
  def initialize(url)
    @url = url
  end

  def release
    @release ||= doc.css("".main_entry"") || []
  end

  release.each do |item|
    define_method(:artist) do
      @artist ||= item.at_css("".list_artist"").text
    end

    define_method(:title) do
      @title ||= item.at_css("".list_album"").text
    end
  end

  private
  attr_reader :url

  def doc
    @doc ||= Nokogiri::HTML(open(url))
  end
end

scraper = Scraper.new( #url

puts ""#{scraper.artist} - #{scraper.title}""
</code></pre>
","2014-10-08 21:13:09"
"23414508","refactor rails controller that has many query parameters?","1","<p>I have a rails controller show action which shows either the parents teams of a team, the child teams of a team, or the full family tree. Currently I am doing this as a simple case statement. Is this the correct ""rails"" way to do it or should I refactor? If yes, any suggestions on how would be appreciated.</p>

<pre><code>if @team= fetch_team
  case params[:tree]
  when 'parents'
    @output = @team.ancestor_ids
  when 'children'
    @output = @team.child_ids
  when 'full'
    @output = @team.full_tree
  when nil
    @output = fetch_team
  else
    @output = {message: ""requested query parameter: '#{params[:tree]}' not defined""}
  end

  render json: @output
else
  render json: {message: ""team: '#{params[:id]}' not found""}, status: 404
end

##

def fetch_team
 Team.find_by(name: params[:id])
end
</code></pre>
","2014-05-01 18:54:32"
"25504751","refactor legacy python code: from u'...' to '...'","1","<p>I have a legacy code project which uses a lot of unicode strings like this: <code>u'...'</code></p>

<p>I want to update the code to use <code>from __future__ import unicode_literals</code></p>

<p>Any automated help from pycharm or an other tool?</p>

<p><strong>Update</strong></p>

<p>A simple search+replace does not work, since the code could contain strings like <code>'fuu'</code> and I don't want that to be replace to <code>'fu'</code>.</p>
","2014-08-26 11:28:58"
"21571197","refactoring input check for hangman in java with acm","1","<p>I'm taking an online java course using the acm package, so the following syntax may not be ""orthodox java"".  At any rate, hopefully, the point I'm making here comes through to those familiar with the package and otherwise:</p>

<p>The code I have below works for validating user input for a game of hangman in java, but going in, I was sure that I could do this with simply one if else statement, but ultimately for expediency's sake, I settled for adding a nested if, else statement.  It's really bugging me that I can't figure out how to refactor this code in one if else statement as I'm positive that there is at least one very obvious way to do this.  Any help would be much appreciated!</p>

<pre><code>private void turn()
{
    println(""The word now looks like this: "" + currentWord);
    println(""You have "" + guessesLeft + "" guesses left."");
    currentGuess = readLine(""Your guess: "");

    String temp = currentWord;

    /*test for legality of guess
     * 1) is it exactly 1 char long?(ie not blank nor a long string
     * 2) is it a letter?
     */
    if(currentGuess.length() == 0)
    {
        println(""That is an illegal guess."");
    }
    else{
        char guessedLetter = Character.toUpperCase(currentGuess.charAt(0));

        if(currentGuess.length() != 1 || !Character.isLetter(guessedLetter))
        {
            println(""That is an illegal guess."");
        }
        else{
        /*scan through secret word to find a match between
         * entered guess and secret word
         */ ......}

private String currentGuess;
private String currentWord;
</code></pre>
","2014-02-05 07:33:26"
"26717938","refactoring repetitive sass to modify based on immediate parent's class","0","<p>tldr: how to avoid repetition of "".well"" selector in below example.</p>

<p>I am using bootstrap and sass to display a ""well"" div with a shape and with a gradient fill. This may not be a proper use of wells and I'd welcome other suggestions as to how to draw circular/rectangular divs with X% shaded (ideally where X is any integer. [0, 100]) but, for now, I am most interested in whether it's possible in SASS to get rid of the repetition of "".well"". I tried using ""&amp;"" but it would reverse .some_container too and I only wanted to reverse the immediate .inner_container parent to apply there (e.g. .inner_container.round). [There is one outer_container and multiple inner_containers. Each inner_container has one well.]</p>

<pre><code>.outer_container {
  .inner_container {
    &amp;.round .well {
      border-radius: 50%;
    }

    &amp;.barely_filled .well {
      @include gradient-horizontal(sienna, $well-bg, 0%, 25%);
    }

    &amp;.half_filled .well {
      @include gradient-horizontal(sienna, $well-bg, 0%, 50%);
    }

    &amp;.fairly_filled .well {
      @include gradient-horizontal(sienna, $well-bg, 0%, 75%);
    }

    &amp;.mostly_filled .well {
      background-color: sienna;
    }
  }
}
</code></pre>
","2014-11-03 15:56:11"
"27279292","refactor method name in eclipse from linked project","0","<p>I have 6 java projects in my Eclipse IDE (juno). One of them is a dummy project which is not meant to be compiled or deployed, it simple holds common logic for the other projects. The other projects use this common project. I edited the classpath of the other projects to include the common source folder as a linked source.</p>

<p>This works fine, but I'm having troubles when I refactor a class or method name in the common project. The refactoring is not propagated to the non-common classes in the other projects that makes use of the refactored class or method, resulting in compile errors that a certain class or method is not found.</p>

<p>The only way I can deal with this is either: </p>

<ol>
<li>Don't change the name of anything</li>
<li>Manually change the name in all projects after refactoring</li>
</ol>

<p>This kind of defeats the purpose of having the common source if a simple edit is not propagated. Is there any way of dealing with this?</p>
","2014-12-03 18:44:20"
"21403084","refactoring large if else satement in java","0","<p>I'm trying to refactor some code so I don't have a large if / else if statement if possible. </p>

<p>Here is the code: </p>

<pre><code>if (Character.getNumericValue(num) == 0 ) {
        return bar0;
    }
    else if (Character.getNumericValue(num) == 1 ) {
        return bar1;
    }
    else if (Character.getNumericValue(num) == 2 ) {
        return bar2;
    }
    else if (Character.getNumericValue(num) == 3 ) {
        return bar3;
    }
    else if (Character.getNumericValue(num) == 4 ) {
        return bar4;
    }
    else if (Character.getNumericValue(num) == 5 ) {
        return bar5;
    }
    else if (Character.getNumericValue(num) == 6 ) {
        return bar6;
    }
    else if (Character.getNumericValue(num) == 7 ) {
        return bar7;
    }
    else if (Character.getNumericValue(num) == 8 ) {
        return bar8;
    }
    else if (Character.getNumericValue(num) == 9 ) {
        return bar9;
    }
    else {
        return bar10;
    }
</code></pre>

<p>Basically it checks if char num is equal to an int 0-9, then returns the associated numbers bar (which is of type string). Is there any way to make this better?</p>

<p>I would like it to be something like </p>

<pre><code>if (Character.getNumericaValue(num) == x {
   return barx;
}
else 
   return bar10;
</code></pre>

<p>if that makes sense. </p>
","2014-01-28 10:31:07"
"26888774","refactor the rspec tests","0","<p>I have written a unit tests as below.</p>

<pre><code>describe Youtube::Metadata do
  let(:subject) { SampleMetadata.from_text(open(url)) }
  context ""when url is passed"" do
    let(:url) { ""http://www.sample.com"" }

    describe ""It should return all values from the site"" do
      its(:id) { should eql ""234"" }
      its(:url) { should eql ""www.sample.com"" }
    end

    context ""Given a html file with id property"" do
      let(:html) { File.join(PAGES, 'youtube', 'sample1.html') }
      let(:subject) { Youtube::Metadata.from_text(File.read(html)) }

      it ""should return unique value from id property"" do
        subject.unique_id.should eql ""65155c6e-ba11-42fc-bb91-53520176d2a8""
      end
    end

    context ""Given a html file with rel:canonical property"" do
      let(:html) { File.join(PAGES, 'youtube', 'sample2.html') }
      let(:subject) { Youtube::Metadata.from_text(File.read(html)) }

      it ""should return unique value from rel=canonical content property"" do
        subject.unique_id.should eql ""65155c6e-ba11-42fc-bb91-53520176d2a8""
      end
    end
  end
end
</code></pre>

<p>I need to refactor it so that I dont have to repeat the below statement in each and every tests cases.</p>

<pre><code>let(:subject)   { Youtube::Metadata.from_text(File.read(html))
</code></pre>

<p>I tried it with before block but it didn't work.  </p>

<blockquote>
  <p>Actually the first context we pass url and the second set of context
  we pass filename. Also I am not sure whether I need to make it as a
  single context (which is passing file name contexts, ie. last two) and describe it.</p>
</blockquote>

<p>What would be the right way to do it??</p>
","2014-11-12 14:00:09"
"22691648","refactoring code that contains ""button addTarget""","0","<p>I have a lot of places of a code that changes a view in UINavigationBar.<br>
So the code is something like this:</p>

<pre><code>UIButton *butt2=[UIButton buttonWithType:UIButtonTypeCustom ];

[butt2 setFrame:CGRectMake(285, 7, 30, 25)];
[butt2 setTag:2];
[butt2 setImage:[UIImage imageNamed:@""tag_icon.png""] forState:UIControlStateNormal];
[butt2 addTarget:self action:@selector(revealMenu:) forControlEvents:UIControlEventTouchDown];
[self.navigationController.navigationBar addSubview:butt2] ;
</code></pre>

<p>I want to create a method that gets argument of the different things in the code which is:<br>
1. the image (easy)<br>
2. The action of the button - <strong>AHA! This one I couldn't figure out how to do</strong></p>
","2014-03-27 15:07:09"
